director,aud_mean,cri_mean,net_mean,count
문제대,7.67,6.79,,1
문제용,8,4.55,7.68,1
문현성,,5,8.55,1
미란다 줄라이,,7.205,7.715,2
미로슬라브 슬라보슈비츠키,7.69,6.71,7.52,1
미르카 비올라,,3,5.5,1
미미 레더,,8.945,,2
미샤 캄프,,7.78,,1
미셀 하자나비시우스,9.33,7.78,8.75,1
미셸 공드리,8.617,6.89,8.41,4
미셸 프랑코,8.23,7.23,8.26,1
미시마 유키코,7.76,6.07,7.54,1
미아 한센-러브,8.45,8,8.33,1
미야모토 히로아키,9.12,6.78,8.98,1
미야오 요시카즈,,3,8.41,1
미야자키 고로,,5.45,5.605,2
미야자키 하야오,8.487,8.474,7.247,10
미야지 마사유키,,6.88,,1
미이케 다카시,8,6.327,6.315,4
미즈시마 츠토무,,4,9.19,1
미츠나카 스스무,9.09,8.9,,1
미카엘 살로먼,,7.79,,1
미카엘 하네케,8.9,8.615,8.275,2
미카엘 하네케 ,5,8.64,7.9,1
미카엘 하프스트롬,,5.29,7.733,3
미켈 브라에네 산데모세,,6.16,,1
미켈란젤로 안토니오니,,8.17,,1
미키 사토시,,8.18,,1
미키 코이치로,5.29,7,4.01,1
미키 타카히로,,6.86,,1
미타니 코키,,7.66,8.15,2
믹 잭슨,,8.98,,1
민경조,7.71,5,6.77,1
민규동,7.04,6.257,7.154,7
민백두,,9.1,,1
민병우,,4.75,8.37,1
민병천,,6.92,,1
민준기,,7.19,,1
밀로스 포먼,9.71,9.25,9.33,1
밋첼 릭텐스타인,,5.78,5.9,1
바란 보 오다르,7,5,7.08,1
바랫 낼러리,8.05,5.83,6.64,1
