"user_pk","id","genre_cluster","grade_cluster","nation_cluster"
3199,"yeah****",13,24,23
3203,"haru****",26,35,40
3205,"toug****",14,38,29
3206,"rlax****",31,21,37
3219,"dydt****",1,11,5
3224,"kool****",38,32,14
3230,"wogn****",23,32,27
3232,"dhtj****",32,20,5
3233,"kim1****",37,26,27
3234,"gofl****",20,28,5
3242,"0103****",16,13,1
3248,"nano****",6,2,5
3262,"mode****",22,28,11
3266,"ferr****",17,15,15
3270,"bell****",37,4,19
3289,"tell****",5,30,40
3294,"clas****",2,36,31
3298,"chon****",24,13,7
3305,"wate****",13,20,20
3309,"spec****",15,40,39
3310,"jimi****",16,38,32
3311,"dksd****",32,33,32
3316,"gusr****",17,23,40
3317,"dami****",16,34,25
3327,"sora****",26,7,37
3329,"jinw****",37,7,38
3353,"dela****",35,14,1
3355,"inst****",16,9,1
3358,"dnwn****",20,23,3
3359,"tjdu****",1,40,26
3360,"minu****",22,26,17
3364,"will****",24,23,8
3369,"tlsr****",27,28,25
3379,"thdg****",20,36,4
3380,"dldm****",40,12,25
3384,"rkdx****",19,11,8
3393,"hold****",12,7,23
3394,"nara****",30,19,1
3397,"yuns****",18,27,4
3399,"wooy****",33,29,12
3421,"echo****",23,9,23
3427,"hank****",39,5,27
3431,"namb****",1,6,18
3439,"dlgh****",6,15,4
3442,"tnql****",9,21,3
3444,"ehdw****",20,16,8
3455,"skym****",33,12,13
3463,"clar****",15,28,15
3467,"dlwh****",38,9,34
3472,"tjrg****",16,26,35
3486,"qufs****",16,9,23
3488,"aris****",39,35,18
3494,"redr****",23,24,39
3498,"chin****",26,23,40
3499,"ggan****",15,30,10
3503,"wltn****",39,16,5
3510,"chlg****",20,2,40
3515,"nerv****",23,12,30
3520,"crow****",29,13,12
3524,"koon****",36,34,17
3535,"baek****",24,36,11
3539,"afte****",32,20,30
3542,"melo****",9,34,29
3547,"kkkk****",21,8,3
3554,"zizi****",27,23,39
3557,"pupu****",3,15,29
3573,"film****",19,12,11
3580,"mega****",17,6,40
3587,"dosa****",9,7,10
3588,"newm****",21,19,31
3595,"the_****",14,33,9
3596,"yunh****",38,29,8
3597,"nike****",2,27,18
3599,"pang****",8,39,40
3602,"dolp****",24,11,35
3604,"tong****",19,18,19
3610,"styl****",36,8,28
3611,"math****",19,6,33
3627,"outs****",2,12,6
3633,"from****",6,21,32
3650,"pape****",11,22,17
3654,"gall****",39,17,29
3655,"sala****",36,20,20
3660,"suny****",29,21,29
3663,"movi****",3,28,38
3668,"dkfk****",19,28,12
3678,"dlrb****",27,21,31
3689,"luxu****",14,30,30
3706,"mill****",17,25,25
3715,"ghdl****",2,18,30
3716,"sall****",24,28,24
3718,"miso****",19,2,1
3738,"alic****",3,7,31
3743,"jiin****",39,29,37
3750,"kino****",33,27,32
3756,"chlr****",24,3,3
3763,"elle****",27,39,39
3784,"ston****",1,21,29
3811,"ther****",40,15,30
3814,"ekdl****",20,36,29
3825,"ekek****",40,3,3
3837,"this****",17,36,15
3853,"2006****",2,24,17
3856,"gand****",38,10,5
3865,"ssan****",14,16,32
3866,"snow****",19,4,2
3870,"yuji****",39,24,5
3876,"jell****",15,19,39
3883,"fair****",7,25,34
3888,"qwas****",25,9,2
3889,"oneo****",17,18,25
3892,"skaw****",6,26,22
3944,"hyoj****",35,5,2
3950,"suni****",4,33,39
3954,"bohe****",34,39,3
3956,"next****",30,31,5
3958,"maru****",27,23,10
3975,"cheo****",17,9,25
3994,"mars****",28,16,3
4004,"theh****",9,9,5
4014,"naye****",38,18,18
4023,"chla****",9,18,8
4024,"qorw****",24,18,3
4030,"jjin****",9,26,22
4033,"rise****",6,21,18
4035,"myso****",9,37,32
4051,"lion****",1,12,21
4062,"kain****",26,23,15
4064,"wlsg****",3,28,1
4067,"chlq****",32,34,8
4072,"ball****",8,27,15
4075,"bett****",21,23,30
4077,"chen****",40,21,23
4080,"plus****",18,24,20
4082,"iris****",6,20,25
4091,"boss****",35,33,39
4095,"ping****",11,9,12
4097,"heav****",39,21,29
4115,"clov****",16,6,21
4118,"youl****",8,38,25
4119,"answ****",24,35,4
4127,"ches****",20,27,39
4129,"dlru****",29,8,1
4134,"yous****",16,39,1
4145,"desi****",27,13,27
4147,"jazz****",20,32,35
4148,"call****",27,23,4
4149,"asd1****",36,21,30
4153,"move****",34,3,4
