"","user_pk","id","12세 관람가_mean","12세 관람가_std","12세 관람가_count","15세 관람가_mean","15세 관람가_std","15세 관람가_count","G_mean","G_std","G_count","NR_mean","NR_std","NR_count","PG_mean","PG_std","PG_count","PG-13_mean","PG-13_std","PG-13_count","R_mean","R_std","R_count","전체 관람가_mean","전체 관람가_std","전체 관람가_count","청소년 관람불가_mean","청소년 관람불가_std","청소년 관람불가_count"
"1457",15110,"nata****",8.36363636363636,2.56808125305919,11,6.22222222222222,3.8522079607466,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,5,7,3.40587727318528,10
"1458",15178,"holi****",6.88888888888889,3.41384255460827,9,7.53846153846154,3.52169942838757,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,1,6.83333333333333,4.13991411612474,6
"1459",15196,"scre****",7,3.24037034920393,8,7.30769230769231,3.21976146714713,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,1,6.45454545454545,2.96536480550911,11
"1460",15256,"long****",8.06666666666667,2.23507394856536,15,7.7,2.95691280448601,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2.5,2,8.28571428571429,1.16057691494799,7
"1461",15305,"vulc****",9.14285714285714,1.12485826771598,7,9.53846153846154,1.33678055361406,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,2,8.14285714285714,2.99659670905758,7
"1462",15322,"thew****",8.75,2.58602010819715,12,7,3.95811402901264,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,7,2.16024689946929,3
"1463",15468,"self****",8.4,1.42828568570857,10,8.33333333333333,2.03149800073348,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,7.25,1.29903810567666,8
"1464",15473,"acdc****",6.44444444444444,3.97523195999963,9,5.94444444444444,3.77818625242651,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,1,5.3,4.33704968844029,10
"1465",15509,"asur****",7.9,3.01496268633627,10,8.6,1.35646599662505,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,0.82915619758885,4,6.33333333333333,3.24893144826965,6
"1466",15524,"cras****",6.44444444444444,2.83278861866266,9,7.27777777777778,2.6833965946074,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,9.16666666666667,0.897527467855752,6
"1467",15657,"hika****",7,3.76587548676509,11,5,3.49789852878082,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,3.89711431702997,4,6.8,3.78945906429928,10
"1468",15735,"here****",6.66666666666667,3.8873012632302,9,6.61538461538461,3.15103063819447,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57142857142857,2.92072118575155,7,8.8,0.979795897113268,5
"1469",15868,"seyo****",7.09090909090909,3.82466981235684,11,8.2,2.34378611083293,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,1,8.66666666666667,1.24721912892465,3
"1470",15945,"feve****",6.55555555555556,3.26976421545826,9,7.95238095238095,2.51616091688055,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,8,2.10818510677892,9
"1471",15969,"swat****",7.875,3.21859829739593,8,7.11764705882353,2.86730767222446,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,0.82915619758885,4,8.22222222222222,3.01027048536535,9
"1472",16059,"diva****",8,1.63299316185545,3,6.21428571428571,3.78301790767582,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.33333333333333,0.471404520791008,3,7.5,2.89704282723903,14
